Cluster,Age,Clicks1,Hits1,Misses1,Score1,Accuracy1,Missrate1,Clicks2,Hits2,Misses2,Score2,Accuracy2,Missrate2,Clicks3,Hits3,Misses3,Score3,Accuracy3,Missrate3,Clicks4,Hits4,Misses4,Score4,Accuracy4,Missrate4,Clicks5,Hits5,Misses5,Score5,Accuracy5,Missrate5,Clicks6,Hits6,Misses6,Score6,Accuracy6,Missrate6,Clicks7,Hits7,Misses7,Score7,Accuracy7,Missrate7,Clicks8,Hits8,Misses8,Score8,Accuracy8,Missrate8,Clicks9,Hits9,Misses9,Score9,Accuracy9,Missrate9,Clicks10,Hits10,Misses10,Score10,Accuracy10,Missrate10,Clicks11,Hits11,Misses11,Score11,Accuracy11,Missrate11,Clicks12,Hits12,Misses12,Score12,Accuracy12,Missrate12,Clicks14,Hits14,Misses14,Score14,Accuracy14,Missrate14,Clicks15,Hits15,Misses15,Score15,Accuracy15,Missrate15,Clicks16,Hits16,Misses16,Score16,Accuracy16,Missrate16,Clicks17,Hits17,Misses17,Score17,Accuracy17,Missrate17,Clicks22,Hits22,Misses22,Score22,Accuracy22,Missrate22,Clicks23,Hits23,Misses23,Score23,Accuracy23,Missrate23,Clicks30,Hits30,Misses30,Score30,Accuracy30,Missrate30,Cluster
0,12.08,8.68,8.48,0.21,8.48,2.27,0.85,9.73,9.42,0.31,9.42,6.34,1.11,8.04,7.82,0.22,7.82,6.61,0.84,4.52,3.54,0.98,3.54,3.4,2.97,6.71,6.47,0.23,6.47,7.26,1.27,5.29,3.96,1.33,3.96,18.62,4.96,7.02,6.23,0.79,6.23,75.62,13.56,6.19,5.69,0.5,5.69,22.83,5.05,4.02,3.07,0.96,3.07,2.41,0.74,8.77,8.31,0.46,8.31,23.38,4.51,5.42,4.7,0.72,4.7,13.5,4.7,4.73,4.41,0.31,4.41,3.73,0.46,7.0,6.78,0.21,6.78,6.19,2.32,3.63,3.48,0.14,3.48,1.85,0.18,4.12,3.95,0.17,3.95,0.93,0.05,4.02,3.7,0.31,3.7,3.59,1.69,6.5,5.06,1.44,5.07,23.23,4.65,7.52,5.32,2.2,5.32,67.12,22.06,15.73,1.49,2.39,1.51,1.19,2.33,0.0
1,8.78,4.58,2.95,0.62,3.01,3.3,3.08,6.71,3.63,0.82,3.65,6.08,4.03,6.82,3.03,0.63,3.08,3.5,3.19,4.09,2.43,1.66,2.78,10.71,10.69,4.2,3.1,1.1,3.15,1.19,2.18,4.29,3.06,1.23,3.07,9.61,3.98,4.26,3.74,0.51,3.75,4.86,0.88,3.87,2.89,0.98,2.9,4.21,5.18,3.35,2.33,1.02,2.33,1.94,2.0,5.56,4.62,0.94,4.62,8.3,3.48,3.64,2.72,0.92,2.73,1.77,0.4,3.09,2.47,0.62,2.48,2.15,1.18,4.26,3.25,1.01,3.27,1.5,3.08,3.41,2.91,0.49,2.92,1.27,0.88,3.29,2.43,0.85,2.43,1.42,1.33,2.98,2.44,0.54,2.44,1.86,3.89,4.42,2.82,1.6,2.83,3.88,3.71,4.27,2.69,1.58,2.69,5.18,5.41,9.92,0.92,2.09,0.93,1.88,4.32,1.0
2,11.76,6.23,0.61,1.59,0.74,3.34,10.12,13.87,2.73,1.51,2.91,2.23,6.87,17.76,2.2,1.21,2.45,3.68,2.56,9.39,5.63,3.76,7.85,51.52,32.1,8.05,4.48,3.57,4.69,29.81,10.12,9.34,8.1,1.24,8.15,13.36,3.78,8.08,7.47,0.61,7.52,5.96,1.63,6.23,4.53,1.7,4.54,20.93,5.7,7.21,6.34,0.87,6.38,18.72,5.05,9.33,8.35,0.99,8.44,5.64,1.05,6.95,5.93,1.03,6.01,10.62,3.67,5.77,4.36,1.41,4.39,9.07,2.35,6.41,3.96,2.46,3.99,15.06,11.57,8.07,7.2,0.87,7.34,10.77,4.47,5.79,3.82,1.97,3.86,24.21,10.96,5.75,4.56,1.19,4.58,5.75,3.78,6.96,5.8,1.15,5.85,57.59,9.88,4.72,3.57,1.15,3.64,4.65,2.02,5.12,2.87,1.97,2.9,4.51,5.96,2.0
